date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY,Port_Ret
2005-10-31,,0.07423988061928566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175946407128863,,-0.03965367965367961,,,,,,,,,,,,,,,,,,,,,,-0.021295215869330142,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.730934805628473
2005-11-30,,0.1776350060774461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28218535881716544,,,,,,,,,,,,,,,,0.5370150435471099,,,,,,0.07749627421753957,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.858292066481525
2005-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007814349988159996,,,,,,,,,,,0.06651666432288006,,,-0.10476190476190483,,,,,,,,,,,,,0.014938828074694044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7780190588122682
2006-01-31,,0.050354708582555086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08937947494033427,,,,,,,,,,,0.35706751054852326,,,,,,,,,,,,,,,,0.1140718182971705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.271837809214578
2006-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04403549129148876,,,,,,,,,,,-0.07054022541780025,,,,,,,,,,,,,,,,0.06309794988610462,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21052631578947367,,,,,,,3.976213724157232
2006-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15722349989546314,,,-0.06606370428627606,,,,,,,,,,,,,0.3504392543389758,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15379278445883438,,,,,,,7.195156637233213
2006-04-28,,,,,,,,,,,,,,,,,-0.08345752608047685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3317894736842104,,,,,,,,,,,,,0.027052756842523173,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006012571740912964,,,,,,,6.734303317633595
2006-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13594688586784698,,,,,,,,,,,,,0.4280086513208712,,,,,,-0.21355236139629497,,,,,,,,,,,,,,,,,,,,,-0.05141600219961495,,,,,,,0.6773350464278571
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08525429930479334,,,,,,,,,,,,,0.029750635581760054,,,,,-0.017334777898158293,-0.07354221061793198,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6031986592615779
2006-07-31,,,,,,,,,,,,,,,,,0.016701461377870652,,,0.00969850305713682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28894133513149,,,,,,,,,,,,,-0.03367127173399165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.041750695812646
